Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital overall rating,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,TE Group Measure Count,Count of Facility TE Measures,Full Address,Net MORT Score,Net Safety Score,Net READM Score,Location,Latitude,Longitude
520002,"ASPIRUS STEVENS POINT HOSPITAL & CLINICS, INC.",900 ILLINOIS AVE,STEVENS POINT,WI,54481,PORTAGE,(715) 346-5000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,7,5,0,5,0,8,2,0,2,0,11,8,0,8,0,8,8,12,10,"900 ILLINOIS AVE, STEVENS POINT, WI",0,0,0,"Aspirus Stevens Point Hospital, 900, Illinois Avenue, Stevens Point, Portage County, Wisconsin, 54481, United States",44.52691,-89.5670699
520004,MAYO CLINIC HEALTH SYSTEM-FRANCISCAN MEDICAL CENTER INC,700 WEST AVENUE SOUTH,LA CROSSE,WI,54601,LA CROSSE,(608) 785-0940,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,6,0,6,0,8,6,1,5,0,11,9,2,6,1,8,8,12,11,"700 WEST AVENUE SOUTH, LA CROSSE, WI",0,1,1,"Mayo Clinic Health System – Franciscan Healthcare, 700, West Avenue South, Weigent-Hogan, La Crosse, La Crosse County, Wisconsin, 54601, United States",43.8044947,-91.2409589
520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WAUKESHA,(262) 928-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,7,7,0,7,0,8,7,2,5,0,11,10,1,9,0,8,8,12,12,"725 AMERICAN AVE, WAUKESHA, WI",0,2,1,"Waukesha Memorial Hospital, 725, American Avenue, Waukesha, Waukesha County, Wisconsin, 53188, United States",43.0114004,-88.2430759
520009,ASCENSION NE WISCONSIN - ST ELIZABETH CAMPUS,1506 S ONEIDA ST,APPLETON,WI,54915,OUTAGAMIE,(920) 738-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,6,0,6,0,8,7,1,6,0,11,11,1,10,0,8,8,12,10,"1506 S ONEIDA ST, APPLETON, WI",0,1,1,"Ascension Saint Elizabeth Hospital, 1506, South Oneida Street, Appleton, Outagamie County, Wisconsin, 54915, United States",44.248351,-88.4026988
520011,MARSHFIELD MEDICAL CENTER - RICE LAKE,1700 WEST STOUT STREET,RICE LAKE,WI,54868,BARRON,(715) 234-1515,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,7,3,0,3,0,8,2,0,2,0,11,7,0,6,1,8,8,12,10,"1700 WEST STOUT STREET, RICE LAKE, WI",0,0,-1,"Lakeview Medical Center Hospital, 1700, West Stout Street, Rice Lake, Barron County, Wisconsin, 54868, United States",45.5069684,-91.7578797
520019,ASPIRUS RHINELANDER HOSPITAL,2251 NORTH SHORE DR,RHINELANDER,WI,54501,ONEIDA,(715) 361-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,5,0,5,0,8,2,1,1,0,11,8,0,8,0,8,8,12,10,"2251 NORTH SHORE DR, RHINELANDER, WI",0,1,0,"Aspirus Rhinelander Hospital, 2251, North Shore Drive, Rhinelander, Oneida County, Wisconsin, 54501, United States",45.6388084,-89.3749088
520021,FROEDTERT SOUTH INC.,6308 EIGHTH AVE,KENOSHA,WI,53143,KENOSHA,(262) 656-2368,Acute Care Hospitals,Government - Local,Yes,N,1,7,7,0,5,2,8,6,0,6,0,11,10,0,8,2,8,8,12,11,"6308 EIGHTH AVE, KENOSHA, WI",-2,0,-2,,42.5786,-87.8195
520028,THE MONROE CLINIC,515 22ND AVE,MONROE,WI,53566,GREEN,(608) 324-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,7,5,0,5,0,8,3,0,3,0,11,9,0,9,0,8,8,12,12,"515 22ND AVE, MONROE, WI",0,0,0,"Monroe Clinic Hospital, 515, 22nd Avenue, Monroe, Green County, Wisconsin, 53566, United States",42.6080707,-89.6339866
520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,MARATHON,(715) 847-2000,Acute Care Hospitals,Proprietary,Yes,Y,4,7,7,0,7,0,8,7,1,5,1,11,11,1,10,0,8,8,12,11,"333 PINE RIDGE BLVD, WAUSAU, WI",0,0,1,"Aspirus Wausau Hospital, 333-425, Pine Ridge Boulevard, Wausau, Marathon County, Wisconsin, 54401, United States",44.9658393,-89.6683726
520033,ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC,410 DEWEY ST,WISCONSIN RAPIDS,WI,54494,WOOD,(715) 423-6060,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,7,4,0,4,0,8,3,0,3,0,11,8,1,7,0,8,8,12,11,"410 DEWEY ST, WISCONSIN RAPIDS, WI",0,0,1,"Aspirus Riverview Hospital, 410, Dewey Street, Wisconsin Rapids, Wood County, Wisconsin, 54494, United States",44.3821289,-89.8284512
